Index,Year,Month,Raw Material,Feedstock Type,Avg Sugar/Starch Content (%),Ethanol Yield (L/ton),Production Volume (tons),Ethanol Produced (L),Cost per Ton (USD),Total Cost (USD),Water Used (m3),CO2 Emitted (tons)
1,2021,2,Bagasse,Cellulose-based,20,210,867.97,182273.7,85.18,73933.68,3545.47,437.35
2,2023,9,Molasses,Sugar-based,48,250,825.27,206317.5,79.08,65262.35,2886.41,462.55
3,2021,12,Sugarcane,Sugar-based,14,70,913.1,63917.0,83.42,76170.8,3134.3,132.2
4,2023,3,Sugarcane,Sugar-based,14,70,261.88,18331.6,57.74,15120.95,884.19,32.41
5,2024,1,Wheat,Starch-based,55,370,154.98,57342.6,80.23,12434.05,533.65,111.71
6,2022,5,Wheat,Starch-based,55,370,901.67,333617.9,50.96,45949.1,3479.41,814.88
7,2024,9,Bagasse,Cellulose-based,20,210,219.02,45994.2,86.48,18940.85,840.94,111.22
8,2022,7,Wheat,Starch-based,55,370,773.55,286213.5,98.62,76287.5,3096.01,537.41
9,2022,4,Corn,Starch-based,60,400,696.83,278732.0,117.69,82009.92,2712.0,465.31
10,2023,2,Wheat,Starch-based,55,370,928.88,343685.6,85.63,79539.99,4519.14,764.61
11,2022,3,Sugarcane,Sugar-based,14,70,728.89,51022.3,57.4,41838.29,3248.6,124.18
12,2024,8,Wheat,Starch-based,55,370,321.89,119099.3,115.32,37120.35,1364.4,225.0
13,2023,9,Corn,Starch-based,60,400,549.57,219828.0,100.77,55380.17,2396.46,437.02
14,2021,2,Sugarcane,Sugar-based,14,70,797.82,55847.4,47.38,37800.71,3093.09,137.88
15,2020,1,Corn,Starch-based,60,400,154.24,61696.0,53.31,8222.53,741.2,95.81
16,2021,12,Corn,Starch-based,60,400,624.7,249880.0,74.62,46615.11,2371.29,595.37
17,2020,1,Molasses,Sugar-based,48,250,624.76,156190.0,99.26,62013.68,1891.75,382.52
18,2024,11,Rice Straw,Cellulose-based,18,190,611.81,116243.9,41.17,25188.22,2200.84,242.24
19,2020,3,Molasses,Sugar-based,48,250,922.63,230657.5,75.73,69870.77,3405.66,563.78
20,2021,11,Sugarcane,Sugar-based,14,70,179.28,12549.6,116.8,20939.9,552.9,30.82
21,2022,4,Sugarcane,Sugar-based,14,70,592.59,41481.3,58.61,34731.7,2192.24,63.76
22,2020,1,Corn,Starch-based,60,400,698.99,279596.0,55.81,39010.63,3267.23,464.51
23,2023,11,Corn,Starch-based,60,400,998.41,399364.0,90.0,89856.9,4853.47,845.69
24,2022,4,Sugarcane,Sugar-based,14,70,594.84,41638.8,77.81,46284.5,2236.74,90.41
25,2024,10,Bagasse,Cellulose-based,20,210,458.44,96272.4,76.65,35139.43,1574.18,228.6
26,2021,5,Wheat,Starch-based,55,370,193.7,71669.0,81.37,15761.37,721.88,144.26
27,2024,5,Wheat,Starch-based,55,370,616.1,227957.0,41.14,25346.35,2017.89,451.64
28,2022,8,Wheat,Starch-based,55,370,671.96,248625.2,84.74,56941.89,2228.27,373.67
29,2024,6,Corn,Starch-based,60,400,948.03,379212.0,67.06,63574.89,3031.84,619.94
30,2022,5,Corn,Starch-based,60,400,516.51,206604.0,103.32,53365.81,1982.57,397.75
31,2024,8,Rice Straw,Cellulose-based,18,190,134.7,25593.0,81.68,11002.3,432.59,50.69
32,2024,8,Rice Straw,Cellulose-based,18,190,285.01,54151.9,66.69,19007.32,1219.57,84.05
33,2024,11,Sugarcane,Sugar-based,14,70,969.34,67853.8,67.93,65847.27,3223.91,147.67
34,2024,6,Molasses,Sugar-based,48,250,536.56,134140.0,91.46,49073.78,1847.72,280.45
35,2024,5,Molasses,Sugar-based,48,250,546.63,136657.5,69.21,37832.26,2395.54,242.22
36,2022,2,Bagasse,Cellulose-based,20,210,415.54,87263.4,45.78,19023.42,1564.27,156.11
37,2022,4,Bagasse,Cellulose-based,20,210,270.0,56700.0,76.61,20684.7,856.04,115.21
38,2022,8,Rice Straw,Cellulose-based,18,190,257.48,48921.2,110.95,28567.41,1230.3,84.26
39,2023,7,Corn,Starch-based,60,400,161.45,64580.0,96.4,15563.78,634.52,126.29
40,2020,2,Molasses,Sugar-based,48,250,876.72,219180.0,78.01,68392.93,3927.56,343.48
41,2020,8,Corn,Starch-based,60,400,506.39,202556.0,103.44,52380.98,1713.12,445.11
42,2022,6,Wheat,Starch-based,55,370,377.64,139726.8,86.92,32824.47,1185.51,333.67
43,2022,6,Molasses,Sugar-based,48,250,592.84,148210.0,48.27,28616.39,2234.77,321.52
44,2024,9,Sugarcane,Sugar-based,14,70,556.62,38963.4,82.06,45676.24,2166.0,84.17
45,2020,2,Bagasse,Cellulose-based,20,210,746.1,156681.0,77.95,58158.5,3087.99,258.01
46,2022,9,Sugarcane,Sugar-based,14,70,802.87,56200.9,40.54,32548.35,3304.33,123.59
47,2021,2,Wheat,Starch-based,55,370,202.45,74906.5,103.56,20965.72,731.88,184.73
48,2020,10,Bagasse,Cellulose-based,20,210,221.01,46412.1,52.22,11541.14,957.87,77.41
49,2022,2,Molasses,Sugar-based,48,250,681.3,170325.0,68.35,46566.85,2468.19,366.58
50,2021,9,Bagasse,Cellulose-based,20,210,200.8,42168.0,87.82,17634.26,907.7,86.35
51,2023,12,Rice Straw,Cellulose-based,18,190,619.54,117712.6,48.55,30078.67,2347.66,188.79
52,2021,11,Corn,Starch-based,60,400,436.49,174596.0,106.86,46643.32,1762.62,306.87
53,2020,12,Molasses,Sugar-based,48,250,192.63,48157.5,113.43,21850.02,623.0,75.11
54,2024,1,Wheat,Starch-based,55,370,327.74,121263.8,87.98,28834.57,1362.46,218.78
55,2023,10,Wheat,Starch-based,55,370,892.43,330199.1,54.95,49039.03,3347.91,813.9
56,2020,7,Rice Straw,Cellulose-based,18,190,350.42,66579.8,51.1,17906.46,1143.58,116.61
57,2023,4,Wheat,Starch-based,55,370,860.0,318200.0,45.14,38820.4,3334.8,622.11
58,2021,6,Sugarcane,Sugar-based,14,70,431.29,30190.3,101.84,43922.57,1603.47,53.8
59,2022,5,Bagasse,Cellulose-based,20,210,892.79,187485.9,109.71,97947.99,4157.11,286.05
60,2020,7,Molasses,Sugar-based,48,250,347.37,86842.5,113.43,39402.18,1622.95,140.25
61,2022,2,Molasses,Sugar-based,48,250,935.03,233757.5,55.08,51501.45,3472.82,567.41
62,2023,8,Sugarcane,Sugar-based,14,70,533.87,37370.9,73.92,39463.67,1904.72,67.16
63,2023,1,Sugarcane,Sugar-based,14,70,914.0,63980.0,86.23,78814.22,4032.0,148.29
64,2024,8,Corn,Starch-based,60,400,696.6,278640.0,113.24,78882.98,2546.64,485.8
65,2024,8,Sugarcane,Sugar-based,14,70,230.87,16160.9,60.2,13898.37,890.94,40.38
66,2020,6,Bagasse,Cellulose-based,20,210,590.01,123902.1,67.36,39743.07,1949.46,214.44
67,2023,9,Corn,Starch-based,60,400,274.7,109880.0,46.28,12713.12,1352.56,206.79
68,2020,8,Molasses,Sugar-based,48,250,868.41,217102.5,106.84,92780.92,2696.64,329.52
